baseline_arm_1,year_5_arm_1
lvrctscan_fibrosis,lvrctscan_fibrosis_v2_v2_v2_v2_v2
lvrmri,lvrmri_v2_v2_v2_v2_v2
lvrmridt,lvrmridt_v2_v2_v2_v2_v2
lvrmrires,lvrmrires_v2_v2_v2_v2_v2
lvrmriheplev,lvrmriheplev_v2_v2_v2_v2_v2
lvrmri_cyst,lvrmri_cyst_v2_v2_v2_v2_v2
lvrmri_fibrosis,lvrmri_fibrosis_v2_v2_v2_v2_v2
cnsimg,cnsimg_v2_v2_v2_v2_v2
cnsus,cnsus_v2_v2_v2_v2_v2
datecnsus,datecnsus_v2_v2_v2_v2_v2
cnsfib,cnsfib_v2_v2_v2_v2_v2
cnsmri,cnsmri_v2_v2_v2_v2_v2
datecnsmri,datecnsmri_v2_v2_v2_v2_v2
othfind,othfind_v2_v2_v2_v2_v2
intermeds,intermeds_v2_v2_v2_v2_v2
ace,ace_v2_v2_v2_v2_v2
acedi,acedi_v2_v2_v2_v2_v2
acedd,acedd_v2_v2_v2_v2_v2
beta,beta_v2_v2_v2_v2_v2
betahyper,betahyper_v2_v2_v2_v2_v2
bhyperdti,bhyperdti_v2_v2_v2_v2_v2
bhyperdtd,bhyperdtd_v2_v2_v2_v2_v2
bporthyper,bporthyper_v2_v2_v2_v2_v2
bphyperdti,bphyperdti_v2_v2_v2_v2_v2
bphyperdtd,bphyperdtd_v2_v2_v2_v2_v2
calc,calc_v2_v2_v2_v2_v2
calcdi,calcdi_v2_v2_v2_v2_v2
calcdd,calcdd_v2_v2_v2_v2_v2
diur,diur_v2_v2_v2_v2_v2
typediur,typediur_v2_v2_v2_v2_v2
othdiur,othdiur_v2_v2_v2_v2_v2
diurdi,diurdi_v2_v2_v2_v2_v2
diurdd,diurdd_v2_v2_v2_v2_v2
diurongoing,diurongoing_v2_v2_v2_v2_v2
grow,grow_v2_v2_v2_v2_v2
growdi,growdi_v2_v2_v2_v2_v2
growdd,growdd_v2_v2_v2_v2_v2
othrmed,othrmed_v2_v2_v2_v2_v2
omedspec,omedspec_v2_v2_v2_v2_v2
othrmeddi,othrmeddi_v2_v2_v2_v2_v2
othrmeddd,othrmeddd_v2_v2_v2_v2_v2
dial,dial_v2_v2_v2_v2_v2
hemo,hemo_v2_v2_v2_v2_v2
hdialdi,hdialdi_v2_v2_v2_v2_v2
hdialdd,hdialdd_v2_v2_v2_v2_v2
perit,perit_v2_v2_v2_v2_v2
pdialdi,pdialdi_v2_v2_v2_v2_v2
pdialdd,pdialdd_v2_v2_v2_v2_v2
ktrans,ktrans_v2_v2_v2_v2_v2
kidlistdt,kidlistdt_v2_v2_v2_v2_v2
k1graftdt,k1graftdt_v2_v2_v2_v2_v2
kdntransg1,kdntransg1_v2_v2_v2_v2_v2
k1graftloss,k1graftloss_v2_v2_v2_v2_v2
kdntransg1l,kdntransg1l_v2_v2_v2_v2_v2
k1lossothr,k1lossothr_v2_v2_v2_v2_v2
k1lossdt,k1lossdt_v2_v2_v2_v2_v2
ktrans2,ktrans2_v2_v2_v2_v2_v2
k2graftdt,k2graftdt_v2_v2_v2_v2_v2
kdntransg2,kdntransg2_v2_v2_v2_v2_v2
k2transloss,k2transloss_v2_v2_v2_v2_v2
kdntransg2l,kdntransg2l_v2_v2_v2_v2_v2
k2lossothr,k2lossothr_v2_v2_v2_v2_v2
k2lossdt,k2lossdt_v2_v2_v2_v2_v2
datacomp,datacomp_v2_v2_v2_v2_v2
datatype,datatype_v2_v2_v2_v2_v2
surveydt,surveydt_v2_v2_v2_v2_v2
